Character_ID,Date,Character_Name,Total
380800,2008,Beast,93453.78
380801,2008,Black Panther,712439.8900000001
380802,2008,Cable,1868897.1700000002
380803,2008,Captain America,4146229.4200000004
380804,2008,Colossus,106736.49
380805,2008,Daredevil,1634773.8500000003
380806,2008,Deadpool,1133421.23
380807,2008,Hulk,6939238.900000001
380808,2008,Iron Man,4680477.530000001
380809,2008,Jean Grey,114098.04000000001
380810,2008,Magneto,434582.82000000007
380811,2008,Onslaught,116762.49
380812,2008,Pixie,63600.600000000006
380813,2008,Skrulls,264566.28
380814,2008,Spider-Man,13913919.09
380815,2008,Thor,3265461.36
380816,2008,Wolverine,5938929.990000001
380817,2008,X-Men,16403491.690000001
380818,2008,Avengers,13067211.93
380819,2008,Ghost Rider,1263462.92
380820,2008,Venom,465226.06000000006
380821,2008,Inhumans,556935.34
380822,2008,Guardians of the Galaxy,220638.08000000002
380823,2008,Logan,694196.16
380824,2008,Fantastic Four,4413787.94
380825,2008,Punisher,3102677.97
380900,2009,Black Panther,214662.0
380901,2009,Cable,701665.0
380902,2009,Captain America,4948275.0
380903,2009,Daredevil,833181.0
380904,2009,Deadpool,2702614.0
380905,2009,Exodus,310821.0
380906,2009,Hulk,5162349.0
380907,2009,Iron Man,2158049.0
380908,2009,Spider-Man,12278664.0
380909,2009,Thor,2143686.0
380910,2009,Wolverine,6152875.0
380911,2009,X-Men,9657785.0
380912,2009,Avengers,15308583.0
380913,2009,Logan,477044.0
380914,2009,Fantastic Four,1664983.0
380915,2009,Punisher,196308.0
381000,2010,Black Panther,98969.0
381001,2010,Black Widow,213106.0
381002,2010,Cable,447833.0
381003,2010,Captain America,3461886.0
381004,2010,Daredevil,1094041.0
381005,2010,Deadpool,4556827.0
381006,2010,Gambit,130473.0
381007,2010,Hulk,6402084.0
381008,2010,Iron Man,2483476.0
381009,2010,Loki,145613.0
381010,2010,Spider-Man,10696910.0
381011,2010,Storm,236607.0
381012,2010,Thanos,904533.0
381013,2010,Thor,3818436.0
381014,2010,Wolverine,6025829.0
381015,2010,X-23,610327.0
381016,2010,X-Men,10139574.0
381017,2010,Avengers,16738794.0
381018,2010,Fantastic Four,1546319.0
381019,2010,Punisher,353394.0
381100,2011,Black Panther,158470.0
381101,2011,Captain America,3836450.0
381102,2011,Daredevil,1506301.0
381103,2011,Deadpool,1865057.0
381104,2011,Hulk,4131644.0
381105,2011,Iron Man,2466094.0
381106,2011,Onslaught,115311.0
381107,2011,Spider-Man,11361246.0
381108,2011,Thanos,106533.0
381109,2011,Thor,2579229.0
381110,2011,Wolverine,5262969.0
381111,2011,X-23,580957.0
381112,2011,X-Men,15250416.0
381113,2011,Avengers,11840547.0
381114,2011,Ghost Rider,319374.0
381115,2011,Venom,1343526.0
381116,2011,Fantastic Four,1625055.0
381117,2011,Punisher,553608.0
381200,2012,Apocalypse,482287.0
381201,2012,Cable,590520.0
381202,2012,Captain America,2904351.0
381203,2012,Daredevil,2354088.0
381204,2012,Deadpool,2515928.0
381205,2012,Gambit,413517.0
381206,2012,Hulk,2967087.0
381207,2012,Iron Man,3434193.0
381208,2012,Spider-Man,12666832.0
381209,2012,Thor,2934237.0
381210,2012,Wolverine,8266603.0
381211,2012,X-Men,29203157.0
381212,2012,Avengers,26624869.0
381213,2012,Venom,1021196.0
381214,2012,Fantastic Four,2071334.0
381215,2012,Punisher,197340.0
381300,2013,Cable,2127867.0
381301,2013,Captain America,2243976.0
381302,2013,Daredevil,1578151.0
381303,2013,Deadpool,3925766.0
381304,2013,Hulk,3194081.0
381305,2013,Iron Man,2625420.0
381306,2013,Spider-Man,15192146.0
381307,2013,Thanos,1449168.0
381308,2013,Thor,2471805.0
381309,2013,Ultron,4957974.0
381310,2013,Wolverine,8056701.0
381311,2013,X-Men,19116542.0
381312,2013,Avengers,20661023.0
381313,2013,Fantastic Four,1548482.0
381400,2014,Black Widow,621079.41
381401,2014,Captain America,3024614.5900000003
381402,2014,Daredevil,2401757.99
381403,2014,Deadpool,8830267.370000001
381404,2014,Hulk,2508208.06
381405,2014,Iron Man,1578954.72
381406,2014,Iron Patriot,131845.56
381407,2014,Loki,326466.14
381408,2014,Magneto,1719091.5
381409,2014,Nightcrawler,482598.48000000004
381410,2014,Spider-Man,17241892.25
381411,2014,Storm,195043.17
381412,2014,Thanos,917137.5800000002
381413,2014,Thor,2839549.2300000004
381414,2014,Wolverine,10505376.620000001
381415,2014,X-Men,17179591.6
381416,2014,Avengers,14556380.730000002
381417,2014,Ghost Rider,460920.81000000006
381418,2014,Guardians of the Galaxy,164399.97
381419,2014,Logan,1513813.67
381420,2014,Fantastic Four,1261832.6500000001
381421,2014,Punisher,507220.77
381500,2015,Apocalypse,1149434.05
381501,2015,Cable,285418.02
381502,2015,Captain America,2377580.03
381503,2015,Daredevil,1558395.27
381504,2015,Deadpool,8403051.47
381505,2015,Doctor Strange,1242014.5
381506,2015,Hulk,2147792.85
381507,2015,Iron Man,2733588.9000000004
381508,2015,Korvac,139697.88
381509,2015,Magneto,232549.16999999998
381510,2015,Red Skull,133238.07
381511,2015,Scarlet Witch,230761.65000000002
381512,2015,Spider-Man,11593030.51
381513,2015,Thanos,1514165.0999999999
381514,2015,Thor,3774518.23
381515,2015,Ultron,1477399.16
381516,2015,Vision,315301.77
381517,2015,Wolverine,2055772.4600000002
381518,2015,X-Men,7906962.2700000005
381519,2015,Avengers,8137515.870000001
381520,2015,Venom,366824.64
381521,2015,Inhumans,2237056.0
381522,2015,Guardians of the Galaxy,2683772.4099999997
381523,2015,Logan,1809197.2300000002
381524,2015,Fantastic Four,633754.27
381600,2016,Black Panther,4032483.250000001
381601,2016,Black Widow,509906.04
381602,2016,Cable,376680.13
381603,2016,Captain America,3347386.1799999997
381604,2016,Daredevil,2856621.3
381605,2016,Deadpool,14167051.72
381606,2016,Doctor Strange,3880017.0600000005
381607,2016,Gambit,928225.62
381608,2016,Hulk,1035588.54
381609,2016,Iron Man,4169980.9200000004
381610,2016,Loki,117712.98000000001
381611,2016,Spider-Man,14323637.53
381612,2016,Thanos,358920.45
381613,2016,Thor,2801183.49
381614,2016,Vision,138879.93
381615,2016,Wolverine,2134559.42
381616,2016,X-Men,9636013.860000003
381617,2016,Avengers,8786069.8
381618,2016,Ghost Rider,437148.36
381619,2016,Venom,511442.19
381620,2016,Inhumans,788539.7100000001
381621,2016,Guardians of the Galaxy,519286.5300000001
381622,2016,Logan,3408883.99
381623,2016,Punisher,2439694.5600000005
381700,2017,Black Panther,1078600.74
381701,2017,Cable,927571.2599999999
381702,2017,Captain America,2635465.5399999996
381703,2017,Daredevil,1242126.9000000001
381704,2017,Deadpool,7379735.57
381705,2017,Doctor Strange,1645291.0400000005
381706,2017,Falcon,219158.73
381707,2017,Hulk,1407866.5799999998
381708,2017,Iceman,285656.07000000007
381709,2017,Iron Man,2287321.92
381710,2017,Jean Grey,1580209.13
381711,2017,Luke Cage,297845.52
381712,2017,Rogue,674443.1
381713,2017,Spider-Man,12131673.100000003
381714,2017,Storm,245792.43000000002
381715,2017,Thanos,713910.75
381716,2017,Thor,3540756.87
381717,2017,Wasp,156140.67
381718,2017,Wolverine,2229310.9500000007
381719,2017,X-Men,10906099.49
381720,2017,Avengers,3591415.0300000003
381721,2017,Venom,5581324.449999998
381722,2017,Inhumans,510192.23000000004
381723,2017,Guardians of the Galaxy,2285701.78
381724,2017,Logan,3578826.5100000002
381725,2017,Punisher,1464258.18
381800,2018,Black Panther,2092962.15
381801,2018,Black Widow,143377.67
381802,2018,Cable,168906.51
381803,2018,Captain America,3614292.870000001
381804,2018,Daredevil,1479492.23
381805,2018,Deadpool,3615309.15
381806,2018,Doctor Strange,2451989.79
381807,2018,Domino,622487.88
381808,2018,Emma Frost,283402.06
381809,2018,Gambit,161028.42
381810,2018,Hulk,2309928.62
381811,2018,Iceman,155426.46000000002
381812,2018,Iron Man,2405258.82
381813,2018,Jean Grey,829540.5900000001
381814,2018,Juggernaut,212574.0
381815,2018,Magneto,258372.22
381816,2018,Mystique,223112.88
381817,2018,Rogue,161028.42
381818,2018,Spider-Man,17921117.85
381819,2018,Thanos,1639973.05
381820,2018,Thor,3411800.9999999995
381821,2018,Wasp,127895.46
381822,2018,Wolverine,5736970.97
381823,2018,X-23,1279277.7699999998
381824,2018,X-Men,15203594.640000002
381825,2018,Avengers,7320638.83
381826,2018,Ghost Rider,1297244.76
381827,2018,Venom,8143315.33
381828,2018,Inhumans,461896.5900000001
381829,2018,Guardians of the Galaxy,227064.96000000002
381830,2018,Logan,3174559.86
381831,2018,Fantastic Four,4195422.72
381832,2018,Punisher,1115111.0100000002
381900,2019,Apocalypse,114377.34000000001
381901,2019,Black Panther,269301.06
381902,2019,Black Widow,292335.33
381903,2019,Captain America,1804699.9900000002
381904,2019,Daredevil,2345747.2
381905,2019,Deadpool,2310011.14
381906,2019,Doctor Strange,980378.8
381907,2019,Domino,153036.45
381908,2019,Exodus,125385.75
381909,2019,Hulk,6475769.48
381910,2019,Iron Man,1587018.5100000002
381911,2019,Loki,211426.11000000002
381912,2019,Marauders,1045462.87
381913,2019,Nightcrawler,129874.5
381914,2019,Spider-Man,19773579.359999996
381915,2019,Thanos,1014539.2700000001
381916,2019,Thor,2312026.5900000003
381917,2019,Vision,813238.39
381918,2019,Wolverine,1869270.1500000001
381919,2019,X-23,313195.05000000005
381920,2019,X-Men,6825621.369999999
381921,2019,Avengers,7439616.56
381922,2019,Ghost Rider,1818115.6700000002
381923,2019,Venom,4907493.330000001
381924,2019,Guardians of the Galaxy,2699146.440000001
381925,2019,Logan,993282.57
381926,2019,Fantastic Four,2903636.15
381927,2019,Punisher,587464.59
382000,2020,Cable,260193.57
382001,2020,Captain America,462522.24
382002,2020,Daredevil,460705.35000000003
382003,2020,Deadpool,500530.9
382004,2020,Doctor Strange,301514.11000000004
382005,2020,Emma Frost,322853.0
382006,2020,Falcon,167731.62
382007,2020,Hellion,278302.28
382008,2020,Hulk,1368502.69
382009,2020,Iron Man,551005.78
382010,2020,Jean Grey,322853.0
382011,2020,Marauders,817315.5900000001
382012,2020,Nightcrawler,233836.39
382013,2020,Spider-Man,2358241.6200000006
382014,2020,Thor,1543518.58
382015,2020,Wolverine,1865733.31
382016,2020,X-Men,3281841.0000000005
382017,2020,Avengers,1359721.8599999999
382018,2020,Ghost Rider,632995.66
382019,2020,Venom,936476.49
382020,2020,Guardians of the Galaxy,671578.04
382021,2020,Fantastic Four,1065964.2000000002
382022,2020,Punisher,308750.19000000006
382100,2021,Black Panther,1175795.8800000004
382101,2021,Black Widow,797640.9000000001
382102,2021,Cable,740334.4299999999
382103,2021,Captain America,1989043.7100000002
382104,2021,Daredevil,2132739.68
